Futbol,Baloncesto,Voleibol,Tenis,Badminton,Hockey
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
4,1,8,2,5,4
2,1,5,5,3,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
4,1,8,2,5,4
1,4,1,5,2,6
5,1,4,5,2,8
9,4,2,3,6,1
1,2,3,1,4,6
2,3,3,2,2,4
3,2,1,1,4,3
2,3,3,2,2,4
3,2,1,1,4,3
1,4,1,5,2,6
5,1,4,5,2,8

