Alcalá,Alcorcón,Aranjuez,Arganda,Carabaña,Cercedilla,Coslada,Getafe,Griñón,Leganes,Loeches,Móstoles,Parla,Pedrezuela,Pinto
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
2357,1631,877,871,30,77,771,2112,97,2110,800,2452,2260,170,1646
3852,2894,1219,1284,52,98,1452,3159,171,3317,1097,3651,2493,196,1054
56,50,65,22,6,5,19,40,5,61,39,107,60,25,47
921,555,242,479,18,33,415,726,23,755,311,990,800,137,380
386,271,132,114,5,12,97,298,14,309,120,329,337,94,214
